check_id	result	detail	artifact
BL076-R2-DM-004	PASS	SpatialProfileRouter.h avoids phonon.h	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_module_dependency_matrix.tsv
BL076-R2-DM-005	PASS	SpatialProfileRouter.h avoids headphone_dsp includes	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_module_dependency_matrix.tsv
BL076-R2-DM-006	PASS	SpatialProfileRouter.h includes SpatialRendererTypes.h	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_module_dependency_matrix.tsv
BL076-R2-DM-007	PASS	Source/spatial_renderer/* avoids SceneGraph include edge	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_module_dependency_matrix.tsv
BL076-R2-RT-001	PASS	rt_exit=0;non_allowlisted=0;total_hits=8	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/rt_audit.tsv
BL076-R2-SM-qa-bl009-headphone-contract-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/smoke_parity_matrix.tsv
BL076-R2-SM-qa-bl009-headphone-profile-contract-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/smoke_parity_matrix.tsv
BL076-R2-SM-qa-bl018-ambisonic-contract-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/smoke_parity_matrix.tsv
BL076-R2-SM-qa-bl018-profile-matrix-strict-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/smoke_parity_matrix.tsv
BL076-R2-SM-qa-bl052-steam-audio-virtual-surround-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/smoke_parity_matrix.tsv
BL076-R2-SM-qa-bl053-head-tracking-orientation-injection-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/smoke_parity_matrix.tsv
BL076-R2-SM-qa-bl069-rt-safe-preset-pipeline-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/smoke_parity_matrix.tsv
BL076-R2-SM-signature-hash	PASS	smoke signature stable vs baseline	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/smoke_parity_matrix.tsv
BL076-R2-SM-module-inventory	PASS	module inventory stable vs baseline	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/smoke_parity_matrix.tsv
BL076-R2-BP-001	PASS	bridge payload emits snapshotSchema	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/bridge_payload_parity.tsv
BL076-R2-BP-002	PASS	bridge payload emits nativeBridgeDiagnosticsSchema	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/bridge_payload_parity.tsv
BL076-R2-BP-003	PASS	bridge payload includes nativeBridgeDiagnostics object	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/bridge_payload_parity.tsv
BL076-R2-BP-004	PASS	UI parser checks native bridge diagnostics schema key	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/bridge_payload_parity.tsv
BL076-R2-BP-005	PASS	UI parser ingests snapshotSchema contract key	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/bridge_payload_parity.tsv
BL076-R2-BP-signature-hash	PASS	bridge signature stable vs baseline	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/bridge_payload_parity.tsv
BL076-R3-SG-001	PASS	SpatialRenderer.h lines=982 <= 5000	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R3-SG-002	PASS	module files=10	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R3-SG-003	PASS	SpatialRenderer.h includes SpatialRendererTypes.h	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R3-SG-004	PASS	SpatialRenderer.h includes SpatialProfileRouter.h	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R3-BL076-SG-H-SpatialAuditionEngine.h	PASS	SpatialAuditionEngine.h lines=200 <= 250	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R3-BL076-SG-H-SpatialAuditionPrimitives.h	PASS	SpatialAuditionPrimitives.h lines=183 <= 250	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R3-BL076-SG-H-SpatialEmitterRenderPass.h	PASS	SpatialEmitterRenderPass.h lines=88 <= 250	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R3-BL076-SG-H-SpatialHeadphoneCompensation.h	PASS	SpatialHeadphoneCompensation.h lines=101 <= 250	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R3-BL076-SG-H-SpatialHeadphonePose.h	PASS	SpatialHeadphonePose.h lines=202 <= 250	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R3-BL076-SG-H-SpatialHeadphonePoseAndCompensation.h	PASS	SpatialHeadphonePoseAndCompensation.h lines=4 <= 250	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R3-BL076-SG-H-SpatialPostFxChain.h	PASS	SpatialPostFxChain.h lines=59 <= 250	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R3-BL076-SG-H-SpatialProfileRouter.h	PASS	SpatialProfileRouter.h lines=220 <= 250	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
